Tipología cliente	Nombre cliente	cli_rao	Dirección Cliente	Ciudad/poblacion	ZIP	Tipología cliente ok
VARIOS	HITSEIN		000  -  -  -	BARCELONA	08006	quitar
DISTRIBUIDORS	COMERCIAL TILMAD, S.L.	COMERCIAL TILMAD, S.L.	000  - COMERCIAL TILMAD, S.L. - C/NAPOLS, 323 - BARCELONA	BARCELONA	08006	DISTRIBUIDOR
DISTRIBUIDORS	LACTICS COLOM, S.L.U.	LACTICS COLOM, S.L.U	000  - LACTICS COLOM, S.L.U - PLAÇA TETUAN, 33 - BARCELONA	BARCELONA	08006	DISTRIBUIDOR
DISTRIBUIDORS	COMERCIAL BASTIDA S.L	BASTIDA FOOD SERVICE	000  - BASTIDA FOOD SERVICE - CARRER DEL MOLI, 18 - RIPOLLET	RIPOLLET	08291	DISTRIBUIDOR
PIZZERIES/REST.	PIZZERIA MATADEPERA, SL	PIZZERIA ANGIE	000  - PIZZERIA ANGIE - C/SANT JOAN, 66 - MATADEPERA	MATADEPERA	08230	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	TUTTO FORMATGE, S.L.	TUTTO FORMATGE, S.L.	000  - TUTTO FORMATGE, S.L. - C/ ANDREU VIDAL, 40 - ST. ADRIA DEL BESOS	SANT ADRIÀ DEL BESÓS	08930	DISTRIBUIDOR
PIZZERIES/REST.	DOLCEVITA, SCP	DOLCEVITA, S.C.P.	000  - DOLCEVITA, S.C.P. - MASIA CAN BARRUSCA,KM.9.9 CTRA.B300 - LA MOLSOSA	MOLSOSA	08280	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	SERVI-CIRE I, S.L.	LA COSA NOSTRA BONA TECA-SERVI-CIRE	004  - SERVI-CIRE - AV. DE LA CERDANYA - CERVERA	CERVERA	25200	DISTRIBUIDOR
PIZZERIES/REST.	LA NIT DE LLINARS, SL	LA NIT DE LLINARS, SL	000  - LA NIT DE LLINARS, SL - C/MAJOR N.30 - LLINARS DEL VALLES	LLINARS DEL VALLES	08450	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	ATLÀNTIDA 2,  S.A	ATLANTIDA  2 SA	000  - ATLANTIDA  2 SA - AVDA.DE CARLES III 48-54 - VILASSAR DE MAR	VILASSAR DE MAR	08340	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	BOCREP, S.L	BOCREP, S.L	000  - BOCREP, S.L - MAESTRO FALLA, 52 P.I.JORDI CAMP - GRANOLLERS	GRANOLLERS	08402	DISTRIBUIDOR
PIZZERIES/REST.	ISLAM NASIR-UDDIN MD AWAL	PIZZERIA BURGER	000  - PIZZERIA BURGER - C/VILADOMAT, 104 - BARCELONA	BARCELONA	08006	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	DISTRIBUCIONES NESPIT, S.L	DISTRIBUCIONES NESPIT, S.L	003  - DISTRIBUCIONS NESPIT (ALEXANDRE DE LABOR - ALEXANDRE DE LABORDE, 3 NAU 1 - Palma de Mallorca	Mallorca	07501	DISTRIBUIDOR
PIZZERIES/REST.	PIZZERIA MEZZA LUNA SCP	PIZZERIA MEZZA LUNA SCP	000  - PIZZERIA MEZZA LUNA SCP - C/ FOMENT , 2 - GRANOLLERS	GRANOLLERS	08402	PIZZERIA/RESTAURANTE
VARIOS	DISFLOVE, S.L	DISFLOVE, S.L	000  - DISFLOVE, S.L - C/ROCABRUNA, 27 - RIPOLLET	RIPOLLET	08291	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	PIZZERIA L'ALBERO DEGLI ZOCCOLI, SL	PIZZERIA PORTA NUOVA	000  - PIZZERIA PORTA NUOVA - ENRIC GRANADOS, 97 LOCAL 3 - PREMIÀ DE MAR	PREMIÀ DE MAR	08320	PIZZERIA/RESTAURANTE
VARIOS	COMIDA ROMANA S.L.	PIZZERIA GUSTO DEL BORN	000  - PIZZERIA GUSTO DEL BORN - PASSEIG DEL BORN, 16 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	PASTA LUEGO S.L.	PASTA LUEGO	000  - PASTA LUEGO - C. CASANOVA 197 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	TORRE ROSSA S.L.	PIZZERIA TORRE ROSSA	000  - PIZZERIA TORRE ROSSA - PLAÇA AMADEU BORRAS, 6 - CARDEDEU	CARDEDEU	08440	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	BON REBOST FAMILIA COLOMAR S.L.	BON REBOST FAMILIA COLOMAR S.L.	000  - BON REBOST FAMILIA COLOMAR S.L. - C. NARD , 20 BAIXOS - SANT JORDI DE SES SALINES- EIVISSA	EIVISSA	07800	DISTRIBUIDOR
